frame,camera,player_id,x1,y1,x2,y2
4,broadcast,5,941,362,1021,445
5,broadcast,5,951,359,1025,437
6,broadcast,5,960,356,1029,428
7,broadcast,5,969,353,1033,420
7,broadcast,12,1650,446,1711,523
7,broadcast,13,1478,423,1526,506
7,broadcast,14,827,616,905,723
7,broadcast,15,1748,590,1786,695
7,broadcast,16,1546,486,1601,580
7,broadcast,17,1579,554,1638,659
7,broadcast,18,1394,386,1434,454
7,broadcast,19,1558,713,1636,832
7,broadcast,20,612,751,669,875
7,broadcast,21,1225,461,1286,553
7,broadcast,22,893,575,949,669
7,broadcast,23,810,560,864,662
8,broadcast,5,978,350,1038,412
8,broadcast,12,1650,449,1713,530
8,broadcast,13,1482,427,1531,512
8,broadcast,14,827,616,904,725
8,broadcast,15,1758,591,1796,696
8,broadcast,16,1553,489,1610,586
8,broadcast,17,1584,565,1638,660
8,broadcast,18,1402,390,1442,458
8,broadcast,19,1541,717,1620,837
8,broadcast,20,616,751,672,876
8,broadcast,21,1236,463,1298,557
8,broadcast,22,898,577,951,667
8,broadcast,23,814,564,868,666
9,broadcast,5,987,346,1042,404
9,broadcast,12,1651,452,1713,534
9,broadcast,13,1489,431,1537,515
9,broadcast,14,830,614,909,727
9,broadcast,15,1768,593,1808,699
9,broadcast,16,1555,495,1609,588
9,broadcast,17,1582,567,1638,663
9,broadcast,18,1410,394,1449,461
9,broadcast,19,1544,720,1626,843
9,broadcast,20,615,752,672,878
9,broadcast,21,1246,465,1308,559
9,broadcast,22,901,577,953,665
9,broadcast,23,819,569,873,670
9,broadcast,27,15,505,47,611
9,broadcast,30,15,505,47,612
10,broadcast,5,996,343,1046,395
10,broadcast,12,1654,453,1716,536
10,broadcast,13,1494,433,1541,518
10,broadcast,14,836,614,915,729
10,broadcast,15,1775,593,1817,703
10,broadcast,16,1555,498,1607,590
10,broadcast,17,1587,569,1645,668
10,broadcast,18,1419,394,1457,462
10,broadcast,19,1541,722,1625,847
10,broadcast,20,617,752,674,881
10,broadcast,21,1255,466,1317,560
10,broadcast,22,910,578,963,668
10,broadcast,23,826,571,878,668
10,broadcast,27,29,507,61,612
10,broadcast,30,28,507,60,613
10,broadcast,31,1458,502,1473,517
11,broadcast,5,1005,340,1050,387
11,broadcast,12,1656,453,1717,534
11,broadcast,13,1498,434,1547,519
11,broadcast,14,844,611,921,724
11,broadcast,15,1784,596,1827,704
11,broadcast,16,1556,498,1603,581
